id,subj,numb,require,first_crse,today_crse,use,date,duration,progress,class,campus,internet,first,today,spend,num_crse_reported_pay,num_crse_reported,num_crse_details_pay,num_crse_details,num_crse_pay,num_crse,spend_per_crse_pay,spend_per_crse,pct_crse_pay,campus_bryan,campus_dist,campus_ftw,campus_steph,campus_waco,electronics_desktop,electronics_laptop,electronics_smartphone,electronics_tablet,sources_campus_bookstore,sources_different_edition,sources_from_instructor,sources_online,sources_other,sources_sharing_/_borrowing,why_cost,why_course_changes,why_delayed_order,why_didn't_know_what_materials_are_required,why_didn't_think_i_would_need_them_on_the_first_day,why_other_(please_specify),why_waiting_for_scholarships/financial_aid
r_10dx0r0i5ni8x6w,acct,2301,2_yes_required,0_none_first,3_all_today,2_often_use,2024-01-29 15:42:25,397,100,1_fr,steph,1_yes_internet,2_most_first,3_all_today,306,4,5,4,5,4,5,76,61,80,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False
r_10dx0r0i5ni8x6w,busi,2301,1_free_required,,,,2024-01-29 15:42:25,397,100,1_fr,steph,1_yes_internet,2_most_first,3_all_today,306,4,5,4,5,4,5,76,61,80,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False
r_10dx0r0i5ni8x6w,busi,1301,2_yes_required,0_none_first,3_all_today,2_often_use,2024-01-29 15:42:25,397,100,1_fr,steph,1_yes_internet,2_most_first,3_all_today,306,4,5,4,5,4,5,76,61,80,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False
r_10dx0r0i5ni8x6w,engl,1302,2_yes_required,0_none_first,3_all_today,1_occasionally_use,2024-01-29 15:42:25,397,100,1_fr,steph,1_yes_internet,2_most_first,3_all_today,306,4,5,4,5,4,5,76,61,80,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False
r_10dx0r0i5ni8x6w,bcis,1305,2_yes_required,0_none_first,3_all_today,2_often_use,2024-01-29 15:42:25,397,100,1_fr,steph,1_yes_internet,2_most_first,3_all_today,306,4,5,4,5,4,5,76,61,80,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False
r_10jjnccyuqi43g9,acct,3301,2_yes_required,0_none_first,3_all_today,2_often_use,2024-01-29 10:45:41,309,100,0_other,ftw,1_yes_internet,1_some_first,3_all_today,40,2,2,2,2,2,2,20,20,100,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False
r_10jjnccyuqi43g9,acct,3304,2_yes_required,3_all_first,3_all_today,2_often_use,2024-01-29 10:45:41,309,100,0_other,ftw,1_yes_internet,1_some_first,3_all_today,40,2,2,2,2,2,2,20,20,100,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False
r_10pavmks1rxscmf,psyc,2308,2_yes_required,3_all_first,3_all_today,2_often_use,2024-01-23 21:16:01,348,100,3_jr,steph,1_yes_internet,2_most_first,3_all_today,251,4,4,4,4,4,4,63,63,100,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False
r_10pavmks1rxscmf,crij,3360,2_yes_required,3_all_first,3_all_today,1_occasionally_use,2024-01-23 21:16:01,348,100,3_jr,steph,1_yes_internet,2_most_first,3_all_today,251,4,4,4,4,4,4,63,63,100,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False
r_10pavmks1rxscmf,psyc,3309,2_yes_required,2_most_first,2_most_today,2_often_use,2024-01-23 21:16:01,348,100,3_jr,steph,1_yes_internet,2_most_first,3_all_today,251,4,4,4,4,4,4,63,63,100,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False
r_10pavmks1rxscmf,hist,1302,2_yes_required,2_most_first,2_most_today,2_often_use,2024-01-23 21:16:01,348,100,3_jr,steph,1_yes_internet,2_most_first,3_all_today,251,4,4,4,4,4,4,63,63,100,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False
r_10r9cskmustsigg,engl,1302,0_no_required,,,,2024-01-25 13:51:05,419,100,1_fr,steph,1_yes_internet,0_none_first,2_most_today,201,3,5,3,5,3,5,67,40,60,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False
r_10r9cskmustsigg,math,1314,2_yes_required,0_none_first,3_all_today,2_often_use,2024-01-25 13:51:05,419,100,1_fr,steph,1_yes_internet,0_none_first,2_most_today,201,3,5,3,5,3,5,67,40,60,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False
r_10r9cskmustsigg,biol,2401,2_yes_required,0_none_first,3_all_today,2_often_use,2024-01-25 13:51:05,419,100,1_fr,steph,1_yes_internet,0_none_first,2_most_today,201,3,5,3,5,3,5,67,40,60,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False
r_10r9cskmustsigg,biol,2401,2_yes_required,0_none_first,0_none_today,1_occasionally_use,2024-01-25 13:51:05,419,100,1_fr,steph,1_yes_internet,0_none_first,2_most_today,201,3,5,3,5,3,5,67,40,60,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False
r_10r9cskmustsigg,univ,314,0_no_required,,,,2024-01-25 13:51:05,419,100,1_fr,steph,1_yes_internet,0_none_first,2_most_today,201,3,5,3,5,3,5,67,40,60,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False
r_119x0d7qwlhnstd,wses,,1_free_required,,,,2024-02-02 12:33:36,209,100,5_gr,steph,1_yes_internet,1_some_first,3_all_today,405,1,1,,1,1,1,405,405,100,False,False,False,True,False,False,True,True,False,False,False,True,True,False,True,True,True,False,True,True,False,False
r_11ocss9gbu0wqp1,mapa,,2_yes_required,3_all_first,3_all_today,1_occasionally_use,2024-01-25 16:40:16,300,100,5_gr,dist,1_yes_internet,3_all_first,3_all_today,139,3,3,3,3,3,3,46,46,100,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
r_11ocss9gbu0wqp1,mapa,,2_yes_required,3_all_first,3_all_today,2_often_use,2024-01-25 16:40:16,300,100,5_gr,dist,1_yes_internet,3_all_first,3_all_today,139,3,3,3,3,3,3,46,46,100,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
r_11ocss9gbu0wqp1,mapa,,2_yes_required,3_all_first,3_all_today,2_often_use,2024-01-25 16:40:16,300,100,5_gr,dist,1_yes_internet,3_all_first,3_all_today,139,3,3,3,3,3,3,46,46,100,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
r_11ozcpdj4lk4vsd,engl,,2_yes_required,0_none_first,3_all_today,2_often_use,2024-01-23 15:44:08,174,100,3_jr,steph,1_yes_internet,0_none_first,3_all_today,244,4,5,4,5,4,5,61,49,80,False,False,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,False,False,True
r_11ozcpdj4lk4vsd,span,,2_yes_required,0_none_first,3_all_today,2_often_use,2024-01-23 15:44:08,174,100,3_jr,steph,1_yes_internet,0_none_first,3_all_today,244,4,5,4,5,4,5,61,49,80,False,False,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,False,False,True
r_11ozcpdj4lk4vsd,engl,,2_yes_required,0_none_first,3_all_today,2_often_use,2024-01-23 15:44:08,174,100,3_jr,steph,1_yes_internet,0_none_first,3_all_today,244,4,5,4,5,4,5,61,49,80,False,False,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,False,False,True
r_11ozcpdj4lk4vsd,psyc,,1_free_required,,,,2024-01-23 15:44:08,174,100,3_jr,steph,1_yes_internet,0_none_first,3_all_today,244,4,5,4,5,4,5,61,49,80,False,False,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,False,False,True
r_11ozcpdj4lk4vsd,engl,,2_yes_required,0_none_first,3_all_today,2_often_use,2024-01-23 15:44:08,174,100,3_jr,steph,1_yes_internet,0_none_first,3_all_today,244,4,5,4,5,4,5,61,49,80,False,False,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,False,False,True
r_11vmfrri1cglk4t,soci,1301,2_yes_required,2_most_first,3_all_today,2_often_use,2024-01-27 20:48:24,243,100,4_sr,ftw,1_yes_internet,3_all_first,3_all_today,120,3,3,3,3,3,3,40,40,100,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
r_11vmfrri1cglk4t,psyc,4310,2_yes_required,3_all_first,3_all_today,2_often_use,2024-01-27 20:48:24,243,100,4_sr,ftw,1_yes_internet,3_all_first,3_all_today,120,3,3,3,3,3,3,40,40,100,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
r_11vmfrri1cglk4t,psyc,3435,2_yes_required,3_all_first,3_all_today,2_often_use,2024-01-27 20:48:24,243,100,4_sr,ftw,1_yes_internet,3_all_first,3_all_today,120,3,3,3,3,3,3,40,40,100,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
r_11xqpavcu5tnezi,engl,1302,2_yes_required,0_none_first,3_all_today,1_occasionally_use,2024-01-23 19:54:41,294,100,1_fr,steph,1_yes_internet,1_some_first,2_most_today,349,5,5,4,5,5,5,70,70,100,False,False,False,True,False,False,True,True,True,True,False,False,True,False,False,True,False,True,True,True,False,False
r_11xqpavcu5tnezi,phil,2303,2_yes_required,0_none_first,3_all_today,1_occasionally_use,2024-01-23 19:54:41,294,100,1_fr,steph,1_yes_internet,1_some_first,2_most_today,349,5,5,4,5,5,5,70,70,100,False,False,False,True,False,False,True,True,True,True,False,False,True,False,False,True,False,True,True,True,False,False
r_11xqpavcu5tnezi,chem,1311,2_yes_required,0_none_first,2_most_today,2_often_use,2024-01-23 19:54:41,294,100,1_fr,steph,1_yes_internet,1_some_first,2_most_today,349,5,5,4,5,5,5,70,70,100,False,False,False,True,False,False,True,True,True,True,False,False,True,False,False,True,False,True,True,True,False,False
r_11xqpavcu5tnezi,biol,1407,2_yes_required,0_none_first,3_all_today,2_often_use,2024-01-23 19:54:41,294,100,1_fr,steph,1_yes_internet,1_some_first,2_most_today,349,5,5,4,5,5,5,70,70,100,False,False,False,True,False,False,True,True,True,True,False,False,True,False,False,True,False,True,True,True,False,False
r_11xqpavcu5tnezi,agri,1100,1_free_required,,,,2024-01-23 19:54:41,294,100,1_fr,steph,1_yes_internet,1_some_first,2_most_today,349,5,5,4,5,5,5,70,70,100,False,False,False,True,False,False,True,True,True,True,False,False,True,False,False,True,False,True,True,True,False,False
r_11xzpjynu1lodzj,busi,,1_free_required,,,,2024-01-25 11:27:07,249,100,2_so,dist,1_yes_internet,3_all_first,3_all_today,204,2,2,1,2,2,2,102,102,100,False,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
r_11xzpjynu1lodzj,mktg,,2_yes_required,3_all_first,3_all_today,2_often_use,2024-01-25 11:27:07,249,100,2_so,dist,1_yes_internet,3_all_first,3_all_today,204,2,2,1,2,2,2,102,102,100,False,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
r_11yustfhlo8bdfk,mgmt,,0_no_required,,,,2024-01-27 17:38:18,240,100,4_sr,steph,1_yes_internet,2_most_first,3_all_today,300,3,4,1,4,3,4,100,75,75,False,False,False,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False
r_11yustfhlo8bdfk,mgmt,,2_yes_required,0_none_first,3_all_today,1_occasionally_use,2024-01-27 17:38:18,240,100,4_sr,steph,1_yes_internet,2_most_first,3_all_today,300,3,4,1,4,3,4,100,75,75,False,False,False,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False
r_11yustfhlo8bdfk,mgmt,,0_no_required,,,,2024-01-27 17:38:18,240,100,4_sr,steph,1_yes_internet,2_most_first,3_all_today,300,3,4,1,4,3,4,100,75,75,False,False,False,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False
r_11yustfhlo8bdfk,mgmt,,0_no_required,,,,2024-01-27 17:38:18,240,100,4_sr,steph,1_yes_internet,2_most_first,3_all_today,300,3,4,1,4,3,4,100,75,75,False,False,False,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False
r_123wttsvc5a5i8q,mgmt,3302,2_yes_required,0_none_first,3_all_today,2_often_use,2024-01-24 11:21:29,332,100,3_jr,steph,1_yes_internet,0_none_first,3_all_today,300,4,4,4,4,4,4,75,75,100,False,False,False,True,False,False,True,True,True,False,False,False,True,False,False,True,False,True,True,True,False,True
